00-00-0C   (hex)		Cisco Systems, Inc
00-1A-2B   (hex)		Ayecom Technology Co., Ltd
00-50-56   (hex)		VMware, Inc.
00-0C-29   (hex)		VMware, Inc.
00-15-5D   (hex)		Microsoft Corporation
00-1C-42   (hex)		Parallels, Inc.
08-00-27   (hex)		PCS Systemtechnik GmbH
00-03-FF   (hex)		Microsoft Corporation
00-17-88   (hex)		Philips Lighting BV
00-1E-C2   (hex)		Apple, Inc.
00-22-41   (hex)		Apple, Inc.
00-23-12   (hex)		Apple, Inc.
00-23-32   (hex)		Apple, Inc.
00-23-6C   (hex)		Apple, Inc.
00-23-DF   (hex)		Apple, Inc.
00-24-36   (hex)		Apple, Inc.
00-25-00   (hex)		Apple, Inc.
00-25-4B   (hex)		Apple, Inc.
00-25-BC   (hex)		Apple, Inc.
00-26-08   (hex)		Apple, Inc.
00-26-4A   (hex)		Apple, Inc.
00-26-B0   (hex)		Apple, Inc.
00-26-BB   (hex)		Apple, Inc.
00-30-65   (hex)		Apple, Inc.
00-3E-E1   (hex)		Apple, Inc.
00-50-E4   (hex)		Apple, Inc.
00-56-CD   (hex)		Apple, Inc.
00-61-71   (hex)		Apple, Inc.
00-6D-52   (hex)		Apple, Inc.
00-88-65   (hex)		Apple, Inc.
04-0C-CE   (hex)		Apple, Inc.
04-15-52   (hex)		Apple, Inc.
04-26-65   (hex)		Apple, Inc.
04-48-9A   (hex)		Apple, Inc.
04-4B-ED   (hex)		Apple, Inc.
04-52-F3   (hex)		Apple, Inc.
04-54-53   (hex)		Apple, Inc.
04-69-F8   (hex)		Apple, Inc.
04-D3-CF   (hex)		Apple, Inc.
04-DB-56   (hex)		Apple, Inc.
04-E5-36   (hex)		Apple, Inc.
04-F1-3E   (hex)		Apple, Inc.
04-F7-E4   (hex)		Apple, Inc.
08-66-98   (hex)		Apple, Inc.
08-70-45   (hex)		Apple, Inc.
08-74-02   (hex)		Apple, Inc.
A4-D1-8C   (hex)		Apple, Inc.
AC-87-A3   (hex)		Apple, Inc.
B8-17-C2   (hex)		Apple, Inc.
B8-27-EB   (hex)		Raspberry Pi Foundation
DC-A6-32   (hex)		Raspberry Pi Foundation
E4-5F-01   (hex)		Raspberry Pi Foundation
28-CD-C1   (hex)		Raspberry Pi Foundation
2C-CF-67   (hex)		Raspberry Pi Foundation
D8-3A-DD   (hex)		Raspberry Pi Foundation
00-14-22   (hex)		Dell Inc.
00-15-C5   (hex)		Dell Inc.
00-18-8B   (hex)		Dell Inc.
00-19-B9   (hex)		Dell Inc.
00-1A-A0   (hex)		Dell Inc.
00-1C-23   (hex)		Dell Inc.
00-1D-09   (hex)		Dell Inc.
00-1E-4F   (hex)		Dell Inc.
00-1E-C9   (hex)		Dell Inc.
00-21-9B   (hex)		Dell Inc.
00-21-70   (hex)		Dell Inc.
00-22-19   (hex)		Dell Inc.
00-23-AE   (hex)		Dell Inc.
00-24-E8   (hex)		Dell Inc.
00-25-64   (hex)		Dell Inc.
00-26-B9   (hex)		Dell Inc.
14-FE-B5   (hex)		Dell Inc.
18-03-73   (hex)		Dell Inc.
18-66-DA   (hex)		Dell Inc.
18-A9-9B   (hex)		Dell Inc.
18-DB-F2   (hex)		Dell Inc.
00-0D-56   (hex)		Dell Inc.
00-17-A4   (hex)		Hewlett Packard
00-1A-4B   (hex)		Hewlett Packard
00-1B-78   (hex)		Hewlett Packard
00-1C-C4   (hex)		Hewlett Packard
00-1E-0B   (hex)		Hewlett Packard
00-1F-29   (hex)		Hewlett Packard
00-21-5A   (hex)		Hewlett Packard
00-22-64   (hex)		Hewlett Packard
00-23-7D   (hex)		Hewlett Packard
00-24-81   (hex)		Hewlett Packard
00-25-B3   (hex)		Hewlett Packard
00-26-55   (hex)		Hewlett Packard
00-30-6E   (hex)		Hewlett Packard
3C-D9-2B   (hex)		Hewlett Packard
94-57-A5   (hex)		Hewlett Packard
A0-D3-C1   (hex)		Hewlett Packard
B4-B5-2F   (hex)		Hewlett Packard
D4-85-64   (hex)		Hewlett Packard
D8-9D-67   (hex)		Hewlett Packard
F4-CE-46   (hex)		Hewlett Packard
00-1E-58   (hex)		D-Link Corporation
00-22-B0   (hex)		D-Link Corporation
00-26-5A   (hex)		D-Link Corporation
1C-7E-E5   (hex)		D-Link International
28-10-7B   (hex)		D-Link International
84-C9-B2   (hex)		D-Link International
B8-A3-86   (hex)		D-Link International
C8-D3-A3   (hex)		D-Link International
00-14-BF   (hex)		Cisco-Linksys, LLC
00-18-39   (hex)		Cisco-Linksys, LLC
00-1A-70   (hex)		Cisco-Linksys, LLC
00-1C-10   (hex)		Cisco-Linksys, LLC
00-1D-7E   (hex)		Cisco-Linksys, LLC
00-1E-E5   (hex)		Cisco-Linksys, LLC
00-21-29   (hex)		Cisco-Linksys, LLC
00-22-6B   (hex)		Cisco-Linksys, LLC
00-23-69   (hex)		Cisco-Linksys, LLC
00-25-9C   (hex)		Cisco-Linksys, LLC
08-86-3B   (hex)		Belkin International Inc.
14-91-82   (hex)		Belkin International Inc.
30-23-03   (hex)		Belkin International Inc.
94-10-3E   (hex)		Belkin International Inc.
B4-75-0E   (hex)		Belkin International Inc.
C0-56-27   (hex)		Belkin International Inc.
EC-1A-59   (hex)		Belkin International Inc.
00-18-E7   (hex)		Cameo Communications, Inc.
00-1D-0F   (hex)		TP-LINK Technologies Co., Ltd.
00-23-CD   (hex)		TP-LINK Technologies Co., Ltd.
00-27-19   (hex)		TP-LINK Technologies Co., Ltd.
14-CC-20   (hex)		TP-LINK Technologies Co., Ltd.
14-CF-92   (hex)		TP-LINK Technologies Co., Ltd.
18-A6-F7   (hex)		TP-LINK Technologies Co., Ltd.
1C-3B-F3   (hex)		TP-LINK Technologies Co., Ltd.
30-B5-C2   (hex)		TP-LINK Technologies Co., Ltd.
50-BD-5F   (hex)		TP-LINK Technologies Co., Ltd.
54-E6-FC   (hex)		TP-LINK Technologies Co., Ltd.
5C-89-9A   (hex)		TP-LINK Technologies Co., Ltd.
60-E3-27   (hex)		TP-LINK Technologies Co., Ltd.
64-56-01   (hex)		TP-LINK Technologies Co., Ltd.
64-66-B3   (hex)		TP-LINK Technologies Co., Ltd.
64-70-02   (hex)		TP-LINK Technologies Co., Ltd.
6C-B0-CE   (hex)		TP-LINK Technologies Co., Ltd.
78-44-76   (hex)		TP-LINK Technologies Co., Ltd.
90-F6-52   (hex)		TP-LINK Technologies Co., Ltd.
94-0C-6D   (hex)		TP-LINK Technologies Co., Ltd.
A4-2B-B0   (hex)		TP-LINK Technologies Co., Ltd.
B0-48-7A   (hex)		TP-LINK Technologies Co., Ltd.
C0-25-E9   (hex)		TP-LINK Technologies Co., Ltd.
C4-6E-1F   (hex)		TP-LINK Technologies Co., Ltd.
C8-3A-35   (hex)		TP-LINK Technologies Co., Ltd.
